drug,gene,disease,label
67636,2380721,73939,1
50969,2756471,12783,1
2630401,404,33290,9
4234318,2896476,326636,3
942387,1023274,130641,9
97996,97852,6985,3
1267205,58955,884,2
1845418,6798837,1878136,4
79216,530176,79497,2
5640025,3272300,66759,9
742624,2687477,72167,9
1196380,360790,63423,9
28521,2902090,12783,9
11599219,162441,63423,3
109886,2236952,70239,9
20903,4563730,63423,9
181348,2423904,18563,9
40580,8954,9650,9
46459,2256600,10473767,7
1844455,1845610,21127,4
32714,42364,29736,9
3401525,456331,45805,9
981169,669520,10485213,9
122641,3948371,50781,9
9074,7331,35951,5
148687,535647,2707,9
149691,243019,3651,5
4324821,1939235,3651,9
602,486575,16572,0
65683,141370,3651,9
8876578,2572720,1878136,9
1885250,591459,72167,9
56937,456331,174128,9
1155406,51963,72167,9
117697,10451158,1878136,2
1085973,58818,24258,9
2846546,1268167,326636,9
4757348,2443642,24258,4
53591,1223341,61912,4
408588,2647687,9514,9
764079,1974258,622178,9
506526,490042,1878136,6
16660,434995,61912,6
331454,2653133,3651,4
229374,2962946,21771,9
148687,2852,2707,6
533227,2147922,2699,0
10472989,532743,64227,9
2752740,432374,58096,1
418956,454457,66759,5
1165692,4773512,45666,7
96570,22731,12783,5
565413,781083,3368465,9
131741,2913056,33290,9
23603,432374,58096,9
5640025,533597,45805,8
1591338,8733,61912,3
1165692,2963154,6985,8
887712,3280981,2147,5
10473372,6459626,12598,9
1174559,49179,3326974,9
10473692,2760056,4697,0
63784,827104,58096,9
703002,14800,63423,4
765940,8963531,1217335,9
264422,2448927,8518,9
10472659,131918,10473826,9
264422,662433,66759,6
2774547,6346,64781,9
283198,1846317,10473861,9
110290,133065,204092,9
57,11002,1878136,5
1431829,2761036,180889,9
251990,2370928,174128,9
10472696,1499240,700525,9
62500,2637070,58096,8
1438,109591,6160,5
48981,3379,12783,8
2752740,432374,10474078,9
6609438,641745,204092,9
10472974,409564,201474,9
5850724,212724,463558,9
398366,2383034,9135,9
4649726,447369,1878136,1
207987,432898,25212,2
10472873,4224838,10635,9
209667,3651494,6030,7
765940,2387989,1958627,9
6353,261,47778,0
149948,2674395,3651,9
5655,5551,174128,4
10473680,533597,61912,9
3458881,705336,35951,8
451635,746588,378745,9
10473475,5793951,326636,9
2976743,2677900,2707,9
4044197,2710,203156,0
474464,389542,204092,1
15094,5,240049,9
5655,433126,290932,0
56170,435068,10485701,9
10472607,3384705,10473861,9
2467,160548,10484039,9
36674,1874368,99575,9
18635,1949025,162528,9
19615,761272,2707,3
997002,205419,90423,9
10473596,491344,10473857,9
603113,444362,12783,8
48981,6379265,1555,8
498210,432873,174128,5
100254,133621,6160,5
252800,4658048,12783,8
1034322,507414,25466,7
47384,2653110,58096,9
437962,2432691,66759,3
61147,3340030,1878136,9
148687,435782,6124,1
21038,518429,24353,9
780545,1881842,6124,9
179443,2075350,10473977,7
458686,408935,53139,9
4463578,696902,2700456,9
229374,589248,53062,7
6335007,570142,10635,5
320982,110681,624766,9
4603579,27220,45805,3
170842,1997037,1878136,9
765940,733044,6985,8
3741178,2324205,48889,9
28642,9851,48173,9
4613589,1908232,1555,3
70493,363559,58096,9
765940,445407,39538,7
10472963,13154,61912,9
1165692,2018447,6160,1
10472828,14349,56620,0
47384,472954,10485080,7
110290,681083,63423,6
68659,2660151,61912,1
1509316,4458873,2147,9
114283,2627962,10474043,0
10059,261214,14675,9
454166,2541428,35533,9
7274600,570142,10635,5
6064407,18879,24258,4
2846546,2960337,45739,8
10472583,212606,3108,5
229374,2664291,2707,7
1635465,3818695,29937,7
182995,4560,10635,8
3984055,5024160,60149,9
10473703,337,52166,1
78223,133621,6160,5
3984055,3499382,10473865,9
3396256,56102,174128,8
6158672,8417165,61912,9
6058618,4279,15660,0
3402777,24050,24258,9
5453661,2709840,3368465,9
10473496,433104,54103,9
867128,96080,60149,0
181247,434802,9135,3
231489,2533203,3651,5
228621,21890,10484217,7
230621,543743,2499,5
398366,586987,10483425,9
3696482,477743,24258,9
721477,4055521,10635,8
4128,433034,46642,9
197166,5477251,45739,9
59114,10263,3953122,9
1420280,1895595,174128,4
2066038,4033464,9135,9
2846546,664351,58096,9
1574910,4804238,60149,6
4649726,243019,10474069,9
165568,5166821,174128,6
399783,243019,52166,4
101045,80983,58096,3
764079,59174,135716,7
152679,2250986,2558242,0
214019,459384,63423,3
5655,1951061,3733,0
28647,1217108,72167,9
262672,26341,10473864,0
650236,454901,75182,2
289826,243655,2499,3
922273,329397,1878136,8
603113,4033464,3651,8
3133859,582545,162528,9
187160,3151839,78957,9
984387,457711,326636,5
50969,586534,12783,8
101045,6303418,73939,1
46459,2235809,2876,9
9325346,2733233,52166,9
10779350,410131,26897,9
3175300,468345,1878136,9
41129,1881576,31361,9
67636,660932,45678,9
50969,31960,2707,6
1733825,570821,63423,9
4757348,453930,66759,5
15063,7762976,174128,9
422473,465844,2499,3
89097,538165,12598,0
76722,458799,3345161,9
23629,1942411,5389329,9
229374,1143101,33290,3
50969,2950942,174128,6
4755002,3415375,35951,3
10986095,625348,3651,9
214019,3435797,24258,9
361732,81682,2794,2
1466029,479184,11101,9
3396256,3321686,83765,9
229374,2763275,5362669,9
15941,2593523,1878136,9
2261363,1888743,10484294,9
629327,410045,35951,3
5455516,435068,70805,2
1911954,201050,3619,0
1948983,2983,10485371,9
433237,2629674,7001132,9
48981,1233912,4210321,9
87016,3599565,6985,1
3984055,4006612,5899197,7
21361,3103219,2499,3
3836889,8492104,2237,9
30835,1630,9135,4
467114,452877,6124,6
7297579,788862,10485980,2
131741,436042,45739,9
3216,7628947,52166,6
289676,1885800,33290,3
76021,2614596,24258,8
4234318,392398,6160,3
1802451,4450551,2499,1
887712,570821,28266,9
214019,2235809,24258,9
2324503,2475193,33290,9
1888,103408,6124,5
3156349,7255,9135,9
934799,1891214,223299,9
501284,286056,2434323,9
35999,9882,220973,2
228621,4399855,10484522,9
3852830,1917847,44433,0
4709884,36318,35951,5
262652,18879,24258,4
1034322,2464495,6124,6
4649726,1869685,562634,9
3144,436104,9135,5
5050357,449187,52555,2
1155406,1903346,35951,6
10472582,2250956,10484506,9
12756,46839,52166,1
228621,5976170,45739,3
74127,2147922,12106,2
173885,87223,33290,6
28521,10042541,1878136,9
409713,15386,96696,7
407586,559828,3635896,9
10472898,1247934,58096,9
5232,456331,6124,9
165568,844678,10635,1
4757348,454896,10290232,9
7089009,2636032,12783,5
398366,3480784,2707,3
68659,2704168,60149,9
96570,4764399,174128,9
196674,2144521,33290,9
93,2626510,180889,9
136463,1888127,139407,9
5898,1023276,8518,1
46597,3480792,6985,9
529067,611333,33290,9
446166,1888157,5994,9
1053423,4695626,10483637,9
2019205,525126,8518,4
7271599,4458873,3651,9
1884638,6601906,63423,9
10473368,3129229,12783,9
443663,1337381,58096,3
209667,70441,159633,9
57,499385,6160,5
189567,2364801,174128,5
2393640,26341,6124,9
100,1773,46816,0
635440,8093,174128,4
21172,142047,114527,9
5197,5196,16420,9
1165692,2950942,45739,9
209893,1263113,10473928,9
201045,147373,10635,6
163783,4317819,10485588,9
2799106,3399893,6985,9
10473141,4020957,12783,9
6703,4171165,35951,9
1049080,3447,63423,8
4292748,4381,10473827,2
1278754,932993,9135,9
86341,218460,10474026,9
170015,201056,73939,9
6143,2653110,701466,9
772971,3027461,10486148,9
67636,435240,24258,6
3396256,9851,326636,3
4755002,290279,6124,6
10472583,959,1878136,5
7846272,2738656,61912,9
3887817,136182,35951,9
1165599,54962,91468,2
264422,1960480,45739,6
264422,105033,12783,1
10472607,604699,50296,9
3133859,484984,1878136,8
578,18560,25212,0
148608,2742053,24258,9
187364,4490912,3651,9
34887,1525768,13042,7
23431,487225,1356130,9
1034322,704931,90446,7
401603,995337,45739,5
5640025,2253111,10485160,9
46459,484172,73939,6
7395,583814,10473851,2
201045,765845,2707,9
722942,261,60149,4
483276,2517188,45805,9
4247114,7334963,3651,9
4190147,3597884,45805,9
511695,218460,3030288,2
17708,10455883,60149,9
5005844,533597,12783,3
12033,763,6985,8
1155406,2725833,3651,8
11961,7861665,73939,9
765940,5533766,37395,9
4234318,454005,58096,2
4757348,475772,10635,4
45424,3102530,2201876,9
41267,2521078,180889,1
28588,205419,24258,5
4128,220232,446009,0
163783,408518,1878136,9
28052,408687,45805,9
59114,4704719,52166,9
9338013,1874,204092,9
23602,17217,204092,9
6701,500748,24258,3
10473402,2508673,2707,9
10568349,42891,3651,9
600918,58955,10483157,2
85546,1930896,1321364,9
228621,2343164,1555,8
1901613,4544,10473753,0
335513,144161,9135,9
192812,4773512,45666,9
10473045,2961006,3651,9
454166,278980,35951,1
765940,181559,24258,1
597286,427114,10635,9
827438,1833376,1267026,9
1844758,79666,10474172,2
680370,4064005,10485368,9
756950,7762976,2707,9
11598377,475257,74483,9
450635,283934,15837,9
94491,1599143,63423,9
283198,5617640,60149,8
8685834,218930,10474093,2
764079,442468,2501,2
5640025,3500556,8518,1
553037,44501,58096,9
210039,185757,10486075,9
523000,80983,884,9
3216,4575436,347977,7
3216,179424,6124,3
1165692,4328,3108,7
254335,2642846,53619,9
6343961,118815,99723,9
3396256,172100,572132,2
17708,524598,27098,9
8764,2406675,1878136,9
10472871,533508,10474070,9
165568,841908,1878136,6
63784,3392607,2424,9
34887,487225,204092,9
556520,5198200,174128,6
26946,9428,12783,5
445394,477743,24258,4
264422,58920,884,9
626714,1836194,914422,9
8288026,855620,2499,9
1043901,11217,19533,0
6464652,451157,6160,3
3209603,479678,8518,5
16274,434410,58096,1
5050365,6794464,128995,7
5915218,64336,174128,4
266223,1121045,12783,9
283198,686376,1878136,9
1853002,409432,10473796,9
214019,3652178,8518,9
46597,591309,8518,6
5640025,129288,19532,9
3929707,432866,46816,2
68659,444598,1555,8
10473262,8646,884,9
904493,243019,9675684,9
1881014,434802,2499,5
125363,456922,1356130,9
398366,1202136,29176,7
1188379,1868757,1878136,8
2910584,258256,55474,9
4755002,2255358,2499,2
128559,2688488,1330712,9
289826,746873,326636,6
361533,573066,6124,3
5640025,4184362,10484852,9
4597460,141370,56620,9
10473215,444593,112980,9
4755002,3242379,10484875,9
2752740,435738,6985,1
1155406,409450,4740028,9
4613589,1837687,19532,2
266223,111930,481302,2
41267,7423,49252,9
650236,2036278,124997,9
78223,432752,2707,4
76021,2393202,2759,9
318001,1601133,58096,9
6279245,932993,6124,9
127859,1143101,33290,8
439480,4381,10483494,9
129530,2289904,204092,8
129530,11403,10485271,9
474464,1840570,16676,9
1278754,48119,4697,8
283198,2508673,6124,8
1295090,2517188,9135,9
165568,584792,63423,8
252800,622455,10485737,9
7286,107260,3651,9
526,433853,165881,2
89129,2466371,93311,2
68659,88617,255927,9
1802451,2568623,2499,9
2338,2535936,40072,2
1096277,3446871,16563,2
3122139,1899516,3651,3
998307,4484909,884,9
4226436,2298115,2707,2
11598264,10824,66759,9
5655,7331,35951,5
61527,2078888,2707,9
165568,450621,439978,7
90142,243019,45805,9
582102,57190,65716,9
516679,5086467,10484755,9
859357,121262,3937,9
6958274,1864856,180889,4
68659,50352,234344,7
220949,272255,10473827,2
68659,3896213,9090,9
248181,13364,45739,9
5655,433126,10484177,9
2630061,435346,12783,9
4320646,2289904,12783,1
117697,175024,10483957,9
21030,45156,6124,0
2295189,2590518,177210,0
43921,1859230,60149,9
127859,2207048,8518,6
5910496,7135,10473821,0
21361,1942636,58096,6
4906645,118644,24258,9
206941,2704168,61912,9
532595,1954289,1878136,9
5898,3507882,63423,1
3396256,2664384,4697,6
34215,182713,449388,0
52685,2200502,174128,8
409233,622455,6160,6
2846546,825529,58096,8
2021796,261,60149,4
108135,699772,2707,9
67636,5024160,18550,9
86810,4545,884,0
7433845,2741291,2521,9
165568,1867709,61912,6
1165599,2547963,12783,6
46459,837719,45039,9
157174,6486,12783,4
228621,5024160,2237,9
10472771,185757,45093,9
274214,479819,61978,9
131741,5261,6985,9
10472639,571282,3651,9
1131983,2250987,6124,9
2355,1850242,66759,5
5093752,453107,45805,3
2442,37651,42056,0
5640025,3634920,9135,6
229374,4989376,35951,8
10473052,33468,10635,9
409023,3560833,80416,2
8813,1874,35951,4
279025,2522304,3108,5
17457,2307199,1799907,9
1282,67901,96696,9
764079,59174,153243,7
4755002,452163,61912,1
3984055,552317,60149,7
450635,2209572,86310,9
23354,2013476,9135,3
165568,78408,16676,1
1574910,342,3651,6
10473241,3435797,872583,9
2752740,164082,6985,1
31563,433640,10485086,9
3568187,2200101,326636,4
5744123,133065,9135,9
10473179,458580,60149,9
656778,1874,35951,4
122969,498779,10635,9
1475820,150100,9135,9
4974755,4414528,180889,9
6133573,173645,25212,9
1852302,3651494,1878136,6
420393,362253,3368465,9
28847,433034,3651,4
206941,13061,2702,9
779519,2483742,10473806,9
2932387,702,10486281,9
3216,408540,8384,7
220949,4155256,63423,8
398366,16653,24258,9
162982,408862,73939,5
1242570,545048,1878136,9
63784,678866,52166,6
52478,33038,265933,9
7315076,1729628,3773841,9
675836,2588125,8518,9
11598826,44043,10473796,2
2218513,54437,564078,9
1784184,8346172,9135,9
28651,101889,180889,9
10472659,52200,2707,9
266223,498779,6124,9
1049563,2203279,2147,0
2737939,488365,10635,5
173885,3821568,10635,6
3216,2727698,153696,7
74959,1548795,2434323,2
6850036,3387999,170441,2
3419566,165868,10483706,9
635440,8093,2499,5
10442310,477743,45557,9
410158,3399893,133397,9
5601,4405169,6657,9
434815,2388796,3651,1
37709,2046901,4697,9
299134,406967,47258,9
27188,1077681,517545,9
5861353,485634,45739,3
2222615,18879,24258,4
629889,765845,1878136,9
505844,622797,174128,1
2663688,11484,12087,0
71048,463346,54367,2
28588,2443642,24258,4
47384,35636,12783,8
10473486,1874377,44433,9
2366,4089,174128,9
765940,2606332,26897,2
17078,574186,45739,3
266223,46049,63423,1
28662,54437,10486092,9
11329,5710,12783,5
3828885,133293,35951,9
37539,1932150,72167,9
104890,1121045,63423,9
116999,144161,2707,9
289826,2724524,1555,9
23354,3447,73939,7
278351,434386,45739,4
1155406,2439,285565,9
147472,988,60149,1
16617,25084,180889,9
36674,3688,9135,9
16662,2326417,61912,3
3984055,4033464,3651,8
163783,124284,66759,8
5356265,508746,73939,3
46597,432752,2707,4
4113781,2963154,6985,8
443910,490125,50801,0
145871,2144521,3651,9
117697,459084,2707,8
279025,502757,326636,9
46459,4748914,52166,1
462782,2022848,3651,4
10472598,625348,3651,9
2352,18879,24258,4
105887,453531,10635,8
110290,2628796,174128,1
148726,1881842,60149,3
11329,9242631,326636,8
21214,1911949,10635,4
3396256,1864237,10483905,9
454166,3486822,6160,3
6072223,344879,603924,2
18112,46049,884,9
1011697,3151839,1555,6
34887,2229018,326636,9
3874528,4083,32672,9
1165599,6842622,8518,8
259282,3068256,180889,1
67636,2088244,10473928,9
109891,835689,37103,9
1539703,757563,723317,9
1215480,2628918,10486218,9
2497567,3634815,180889,9
205218,79734,35951,9
1502828,4804238,60149,9
117697,502624,12309,9
148687,10456599,45805,9
1155406,2576813,10485284,7
2904744,3821568,10635,9
1200590,2589353,9135,4
675836,505863,2707,6
18728,638124,33290,9
4591,9714,5090,7
7855350,459565,481566,9
150411,5629602,10474046,9
137293,2637070,52166,1
49873,47913,3651,1
5526232,11002,1878136,5
372693,56755,16563,0
114283,18269,177210,7
162982,2383034,3368465,9
50969,2802190,9650,7
20903,114203,1447991,9
470080,53878,3651,6
11488,3378824,4674,9
127859,1622167,24258,9
124518,3399893,3353208,9
1933184,1835448,9135,1
7532300,5083709,6985,9
228621,168746,66759,6
6298926,2003496,884,9
4191588,447667,10484394,0
560885,172482,10483861,9
553037,492842,174128,9
10473019,2781,58096,9
363100,6976970,8518,9
6142794,2845287,10484189,9
4757348,3132838,553622,0
5898,2833815,4764013,9
11598243,178856,136142,2
5655,115068,6160,4
67636,2119892,8670532,9
922273,1853315,10473867,7
75800,475727,137179,9
1155406,2489511,78779,9
3828885,16922,7380,9
278848,123749,326636,4
3918089,2036278,174128,1
6279245,999,1555,8
474082,4141812,448130,7
100,91250,11005,0
622440,107260,24258,9
91770,4752553,35951,9
57,46884,76333,0
13251,80266,975251,0
84494,78408,307461,9
164113,75646,19532,7
1635465,3093583,4767301,7
22042,94565,30946,9
163783,3041598,9209,7
398366,111930,628388,9
5898,2013114,684750,9
1043901,1982992,35951,9
399989,1696843,4829826,9
117697,131904,10484197,9
5640025,3034702,60149,6
1041162,2018,46816,9
256578,16814,45805,5
127859,2676539,42245,9
52753,1880311,12783,3
5655,588440,11622,9
165568,2783290,174128,1
7717,486348,10485259,9
117697,4441554,6160,3
81799,3126339,442627,9
110290,70538,1177996,9
127859,1208564,45805,8
227093,54182,45805,3
196674,2928451,66759,9
1501,10824,63423,9
2355,3609,317781,9
283198,5248484,9209,7
603113,1952887,79544,9
50969,3379,18550,8
1276578,3821568,60149,8
47384,4175729,1878136,3
41855,54134,622178,0
10473227,543743,1878136,9
922273,2623845,1878136,8
48981,669927,33290,6
183696,4478839,8518,8
189567,2985431,8518,4
6720211,432944,4669,0
87016,2584011,218675,9
464745,1488737,796920,2
5898,4812853,60149,9
3984055,2001047,10484741,9
10473150,5,60149,9
2338,305083,63423,9
4320646,93522,60149,8
105887,1833442,12783,9
52753,7067489,10484691,9
922273,3509345,204092,9
4149,781083,180889,5
1034322,2772193,2147,1
85546,582679,884,7
10473268,760437,10486068,9
17708,2632,60149,5
18646,57780,12783,9
1418052,507414,10635,9
450635,1772,9135,6
612156,160548,9499,2
922273,2387989,3651,1
1267205,58955,128654,9
3984055,2085618,6985,6
5655,2055785,204092,4
10473520,21135,975251,9
626714,1725273,1878136,6
110290,1870101,1878136,9
409713,2289904,6985,1
409087,94049,263693,0
145871,18879,64198,9
59114,456236,204092,8
445855,1616223,39660,9
249375,2523,10486262,0
289826,2801103,72167,8
163783,432316,45739,9
67636,471629,10250,9
117697,2654499,10483413,9
434177,3680434,60149,3
2752740,3680434,3651,1
1440,2558210,72167,5
6277906,3194434,2147,9
181690,479184,4714225,9
136463,303704,9135,9
5602996,45988,32253,9
400477,3314196,31061,9
3396256,140157,63423,6
1242570,32856,3651,9
450635,480335,24258,3
196415,2801103,10635,9
8238,206,7359585,0
28912,472478,201421,9
3133859,2343164,45739,8
46459,4224838,21771,9
454166,7165794,140970,9
46459,1900319,3651,8
5206739,732489,174128,1
1574910,3821568,60149,8
2846546,5523,24258,4
10473695,11746,7359585,9
148687,457271,63423,6
398366,7525439,12783,1
4649726,505863,2707,1
57,35911,24258,4
432511,5639234,4697,9
212389,408703,4917,9
576524,205419,1878136,9
169162,194,120704,7
556520,1868757,16676,8
63784,916479,45739,1
228621,2881372,281815,7
84494,79827,1177996,9
3133859,383392,10485732,9
76021,434795,2059149,9
1278754,3508697,326636,8
398366,454740,4730,7
3539808,2481741,14361,9
438838,1906058,6124,8
2000539,521644,1356130,0
5381274,3353045,51776,9
11510,82864,45739,5
474082,11073,73939,8
206941,1330495,204092,1
179443,4673839,214470,9
1559882,59702,52166,9
10473441,342,9135,9
148687,4697221,1555,9
221206,837719,12783,9
7034363,2013476,66759,9
201045,564958,174128,1
118399,2292542,10635,9
41732,3074,2727,0
454166,2266743,174128,3
626714,3390696,884,8
5268191,459565,73939,1
71048,4722753,72167,1
22717,4096049,72167,9
4113781,4929206,6985,9
409079,507416,9135,4
33675,1978831,68421,9
649198,811951,52166,9
10472717,1556862,9135,9
148687,572131,3959673,7
23044,18455,10473768,2
2137082,1633300,174128,9
1188379,30798,3651,1
50969,137131,10483398,9
931305,2700758,63423,1
192782,436995,63423,4
1155406,484068,625126,9
1155406,60006,3651,6
1583,13154,50844,9
16105,2470444,8518,3
516679,681079,16676,1
113997,45366,18499,2
18365,2475193,2707,3
98295,261,60149,4
931410,533538,45805,9
398366,126755,3651,3
16662,45767,43756,9
626714,555910,21127,6
478548,2383034,24258,9
10473600,388340,2455,0
3980308,2022848,10474026,0
4036817,79666,10484974,2
824075,6056450,66759,9
398366,1858110,16397,7
1165599,1870495,174128,6
336604,2816770,52166,9
1155406,7334963,66759,9
11510,7289,5751332,9
18758,261,60149,4
514,1667002,285771,9
1174559,429292,24258,4
34887,2013114,10484120,9
82369,518335,1670182,9
8685834,243019,12783,4
164235,1833378,49577,9
4755002,2717459,2707,1
4950811,2541428,38198,9
2720427,2448414,11625,0
1643471,1177636,16676,9
10473116,103372,2707,9
23629,48046,7653805,9
6143,1895595,1940628,9
10762785,638124,33290,9
242277,427114,204092,9
1049080,2899726,217591,7
74661,453532,10483222,9
5540,501085,275740,7
105887,16653,63423,9
39002,7304869,2147,9
2947295,447339,108976,2
505,2432836,10635,9
28588,4380317,63423,9
28818,2631960,326636,9
50969,68343,3651,3
398366,423006,12783,8
10473268,2523,139752,9
556520,2166803,43756,9
8685834,1939235,3651,9
60906,3954296,10486077,9
2752740,2874637,6710,9
981169,93522,60149,3
801901,194,180191,7
4139430,795352,12783,1
524321,7331,2434323,0
2167858,57687,1878136,9
105887,481485,37098,7
10472780,1893032,45739,9
7482,33038,11140,0
1637350,3505959,162528,9
10473125,641310,63423,9
508293,7788327,2147,9
45424,67336,223479,0
10472693,26320,10484559,9
110290,169202,13042,7
450635,529169,33290,6
46459,4773512,156773,9
180450,2003496,63423,8
63784,305083,25212,9
1839896,2482,37120,9
28588,433451,9320,9
600918,58955,26897,2
127859,88137,9135,6
266223,1571076,4169439,9
89129,31952,2707,8
1300794,4544,9135,9
516679,3652178,174128,9
3984055,2432452,72167,1
34887,4613305,1878136,3
515463,46839,1555,9
59114,7059264,535764,9
9208,457322,61912,5
10673,3072695,95197,0
2263124,605,6720583,9
148687,23091,10486336,9
206941,757563,12783,3
229374,10456599,66759,9
252800,2828633,20407,9
6218783,243019,52166,9
10473153,444598,45054,9
16363,2888551,206453,0
474464,261214,9135,9
5390932,2704168,174128,9
5285452,1982992,1555,9
9614185,65697,443946,9
165568,1863295,10485562,9
21038,30898,24258,4
19054,78408,16676,9
7897014,434795,66759,3
274214,3045557,505395,0
5898,190359,45739,1
3713758,2470167,35951,5
434815,479186,2419,2
67546,528421,10483742,0
4324821,4033464,61912,6
81799,3189325,326636,9
206941,808171,6985,8
127859,4321109,196486,7
10472583,1840145,9135,5
46456,493321,2707,9
3216,531,3651,9
32794,12722,9135,4
5537,1616223,10484971,9
4766641,64336,174128,1
113212,243019,3651,9
6204389,408518,6160,9
765940,6270433,10474093,9
301509,4911,9064381,9
450635,4134622,884,3
163783,5311221,326636,8
197987,58434,83220,9
6679243,123132,10474050,2
165568,22214,1878136,8
17708,134200,42344,9
61141,33038,326636,5
10473307,5852717,145175,9
63784,2323100,796920,7
163182,582004,3651,5
105887,2470444,8518,3
190519,11002,1878136,5
6427353,18879,24258,4
432812,432783,884,9
10472722,441258,10483180,0
103347,1983393,73939,9
1165692,2637620,10486242,9
369,1217108,72167,5
59113,53878,3651,1
10473068,78007,55474,2
10472818,5640,35951,5
40617,3951517,180889,9
849947,435584,63423,4
4649726,630345,2499,9
28818,1885801,44145,2
78223,480064,2461,0
1875291,8410,35951,5
249375,490469,52166,6
9119,651552,45208,9
55473,3428782,35936,9
1155406,779775,77798,7
1498882,4013976,2499,9
645728,490469,52166,6
169162,6894577,10886,9
4371346,22112,180889,3
922273,408779,10485571,7
228621,3649,2910772,9
650236,1983393,326636,9
3424069,432945,10484316,2
3185942,153391,39955,9
6986739,1021114,1555,1
